17,Perché non è possibile fare l’overloading di un metodo cambiando il tipo di dati restituito dal metodo?,"Se cambiamo il tipo dati ritornato dei metodi in overloading, ci possono essere  comportamenti ambigui. Come si fa a sapere quale metodo verrà invocato? 
Per questo motivo non è possibile, in overloading, cambiare il tipo di dati ritornato."
18,Differenza tra x++  e ++x,"X++; // valuta X, poi incrementa X di 1
++X; // incrementa X di 1 e poi valuta X"
19,Differenza tra variabile di istanza e variabile di classe,"Variabili di istanza:  Queste variabili appartengono all'istanza di una classe , quindi un oggetto. E ogni istanza di quella classe (oggetto) ha la propria copia di quella variabile. Le modifiche apportate alla variabile non si riflettono in altre istanze di quella classe.
Variabili di classe:  Queste sono anche conosciute come variabili membro statiche e c'è solo una copia di quella variabile condivisa con tutte le istanze di quella classe. Se vengono apportate modifiche a quella variabile, tutte le altre istanze vedranno l'effetto delle modifiche."
20,Cos’è il bytecode?,Con il termine bytecode si intende i file con estensione .class e rappresenta il prodotto della compilazione di un file sorgente scritto in linguaggio Java.
21,Che cos’è l’overriding?,Una classe derivata può avere un metodo identico ad un metodo già presente nella classe base. Questa operazione di riscrittura è nota come ovverride.
22,Si può fare l’overriding di un metodo statico?,"No. Java non consente l'override di un metodo statico. Se si crea un metodo statico con lo stesso nome nella sottoclasse, esso è un nuovo metodo statico, associato alla sottoclasse, non un metodo sovrascritto."
23,Cos'è l'astrazione nella OOP?,L'astrazione è il processo di nascondere alcuni dettagli dell’implementazione di un oggetto e mostrare solo le caratteristiche essenziali dell'oggetto al mondo esterno. Il processo di astrazione identifica i punti in comune e nasconde la complessità dell’implementazione. Ci aiuta a concentrarci sull’interfaccia che condividiamo con il mondo esterno.
24,Quali sono le differenze tra l’Astrazione e l’Incapsulamento?,"L'astrazione mostra all’esterno solo le funzionalità essenziali, nascondendo l’implementazione all’interno. L'incapsulamento, anche noto come ""Information Hidden”,  ha lo scopo di incapsulare i dati all’interno della classe e permetterne l'accesso solo tramite dei metodi appositi."
25,Cos'è una classe astratta?,"Una classe astratta è simile a una normale classe: può avere attributi e metodi, ma è caratterizzata dalla parola chiave abstract. Non può essere istanziata e la sua implementazione è demandata alle sottoclassi;"
26,È possibile contrassegnare solo il metodo con la parola chiave abstract senza rendere abstract la classe?,"No. La specifica Java dice che se c'è almeno un metodo abstract in una classe, la classe deve essere contrassegnata come astratta."
27,È consentito contrassegnare un metodo astratto final?,"No. E’ contraddittorio. Un metodo astratto deve essere sovrascritto da una classe figlia, mentre un metodo final non può essere sovrascritto. Quindi un metodo può essere sia astratto o finale. "
28,Quali sono i concetti fondamentali di OOP?,"Astrazione, incapsulamento, ereditarietà e polimorfismo sono i concetti fondamentali di OOP."
29,Cos'è un oggetto?,Un oggetto è un'istanza di una classe.
30,Qual è la differenza tra un oggetto e un riferimento a un oggetto?,Un oggetto è un'istanza di una classe. Il riferimento all'oggetto è un puntatore all'oggetto. Ci possono essere molti riferimenti allo stesso oggetto.
31,Possiamo istanziare una classe astratta?,No. Non possiamo creare un'istanza di una classe astratta. 
32,Cosa fa il metodo trim () della classe String?,trim () elimina gli spazi iniziali e finali di una stringa.
33,Cosa sono gli enum?,"Le classi Enum definiscono un tipo di dati che può assumere un determinato numero di valori costanti, come ad esempio i semi di una carta da gioco che possono assumere  solo 4 possibili valori. "
34,Cos'è un'interfaccia?,"Le interfacce sono entità simili a classi, ma con i metodi senza corpo, cioè metodi con la sola dichiarazione. Servono a dare dei comportamenti standard a tutte le sottoclassi, ossia tutte le sottoclassi devono per forza implementare i metodi dichiarati nelle interfacce.  Talvolta si dice che un’interfaccia è un contratto tra chi la implementa e chi la usa. La classe che implementa un’interfaccia, essendo obbligata ad implementarne tutti i metodi garantisce la fornitura di un servizio. Chi usa un interfaccia ha la garanzia che il contratto di servizio è effettivamente realizzato: non può accadere che un metodo non possa essere chiamato. Vengono definite tramite l'uso della parola interface al posto della keyword class, nella creazione di una classe. Come concetto è molto simile ad extends, ma una sottoclasse in java può estendere soltanto un’unica superclasse, mentre una classe può implementare infinite interfaccie (ereditarietà multipla). E’ necessario implementare TUTTI i metodi delle interfacce. Se così non fosse, il compilatore ci darebbe un errore."
35,È consentito avere un  metodo statico  in un'interfaccia?,"Sì, da Java 8 in poi, possiamo definire metodi statici e di default in un'interfaccia. Prima, non era consentito."
36,Perché un'interfaccia non può essere contrassegnata come final?,La keyword final impedisce che la classe sia ereditata ma lo scopo dell’interfaccia è proprio essere ereditata. Quindi rendere un’interfaccia final è una contraddizione. 
37,Qual è la differenza tra classe astratta e interfaccia?,"Le differenze tra la classe astratta e l'interfaccia sono le seguenti:      • Una classe astratta, oltre a metodi astratti, può contenere dati e metodi non astratti. Una interfaccia no.     • Una classe astratta può avere un costruttore. Una interfaccia no.     • In una interfaccia si possono definire solo costanti.     • In una interfaccia i metodi la visibilità sarà public in automatico (c’è anche la possibilità di usare quella di default ma i figli saranno “costretti” a fare l’override dei metodi con public, anche se sono nello stesso package)."
38,In una interfaccia possiamo utilizzare i modificatori private e protected?,No. Tutte le variabili in un'interfaccia sono implicitamente pubbliche.
39,Possiamo modificare il valore di una variabile dichiarata final?,"Una variabile dichiarata final è una costante, perciò, una volta che il valore è impostato, non può essere modificato."
40,Una classe può essere final?,"Sì, una classe può essere contrassegnata come finale in Java. Una volta che una classe è stata contrassegnata final, non può essere estesa."
41,Cosa significa dichiarare un metodo final?,Final sul metodo indica che l’override del metodo non può essere fatto.
42,Differenza tra Heap e Stack,La differenza più importante tra heap e stack è che lo stack viene utilizzato per memorizzare variabili locali e chiamate di funzione mentre la memoria heap viene utilizzata per archiviare oggetti in Java.
43,A cosa servono i package?,"Un package è un “contenitore” che raccogliere al suo interno una serie di classi, o anche altri packages, in qualche modo logicamente legati tra loro.   Raggruppando le classi affini in package, miglioriamo l’organizzazione del codice e impediamo i conflitti tra classi con nomi uguali: ad esempio due classi di nome Prova possono coesistere in due package diversi, senza che ci sia nessun errore di compilazione o altro.  Java fornisce diversi package in cui sono presenti varie classi, suddivise per funzionalità, come ad esempio java.io che contiene le classi per l’input e l’output.   Si può anche creare un proprio package, utilizzando la keyword package come prima riga del file .java.  Più precisamente, se si desidera creare una classe A che appartenga al package mypackage, allora sarà necessario scrivere all’interno del file A.java"
44,Che cos’è la serializzazione?,"Per serializzazione si intende la trasformazione di un oggetto java in uno stream di byte.  La deseralizzazione, invece, è la trasformazione di uno stream di byte in oggetti java. Queste operazioni vengono, ad esempio, effettuate quando si invoca un metodo, che prende in input un oggetto, che si trova su una macchina remota (quindi con diversa JVM) o durante la lettura/scrittura di un file binario."
45,Qual è lo scopo della serializzazione?,Alcuni degli usi della serializzazione sono:     • Comunicazione: è utilizzato per trasmettere un oggetto rete tra due macchine.     • Persistenza: possiamo memorizzare lo stato dell'oggetto in un database e recuperarlo dal database in seguito.
46,Cos'è la deserializzazione?,La deserializzazione è il processo di ricostruzione dell'oggetto da uno stream di byte. È il processo inverso della serializzazione. 
47,Perché contrassegnare un dato come transient?,"Le variabili membro di un oggetto sono contrassegnate come transient per indicare che non devono essere serializzati. Quindi, durante la serializzazione, non sono considerate parte dello stato di un oggetto."
48,È consentito contrassegnare un metodo come transient?,"No, Java non consente di contrassegnare un metodo come transient. Il la parola chiave transient è valida solo per le variabili membro. "
49,Cos’è il Garbage Collector?,"Il garbage collector di Java è un sistema automatico che si occupa di liberare la memoria dagli oggetti non più usati, liberando, così, i programmatori dal vincolo di dover allocare e de-allocare gli oggetti in memoria.  Un oggetto è considerato “non più usato” quando non è più referenziato ossia non c’è nessun riferimento, diretto e indiretto.  Il Garbage Collector (GC) prima esegue un processo detto marcatura (marking), in cui identifica quali pezzi di memoria sono in uso e quali no. "
50,Quando un oggetto diventa idoneo per Garbage Collector?,"Un oggetto è idoneo per il Garbage Collector  quando non è più referenziato ossia non c’è nessun riferimento, diretto e indiretto."
51,Cos'è una classe annidata?,Una classe annidata (o interna o inner class) è una classe dichiarata all’interno di un’altra classe.
52,Perché le stringhe vengono dette immutabili?,"Una volta creato un oggetto String, non è possibile modificarlo. Quando  assegniamo alla stringa un nuovo valore, viene creato un nuovo oggetto. "
53,"Nel seguente codice, quanti oggetti vengono creati? 
String s1 = ""HelloWorld""; 	String s2 = ""HelloWorld""; 	String s3 = ""HelloWorld"";","Il codice crea un solo oggetto. Questo perché tutti i riferimenti puntano a stesso oggetto, cioè a  ""HelloWorld"";"
54,In quanti modi si può creare un oggetto String?,"Java offre due modi per creare un oggetto String. Uno è usando le String Literal, l'altro è utilizzando l'operatore new.  "
55,"Nel seguente codice, quanti oggetti vengono creati?
String s = new String (""HelloWorld"");",Il codice crea due oggetti. Un oggetto viene creato nello String Pool e l'altro viene creata nell'Heap memory.
56,Qual è la differenza principale tra String e StringBuffer?,String è un oggetto immutabile. Il suo valore non può cambiare dopo la creazione. StringBuffer è un oggetto mutabile. Possiamo continuare ad aggiungere o modificare il contenuto. 
57,Qual è l’uso del metodo toString?,"Questo metodo può essere utilizzato per restituire la rappresentazione String di un oggetto. Quando stampiamo un oggetto, Java chiama implicitamente il metodo toString (). Java fornisce un'implementazione predefinita, definita nella classe Object, per il metodo toString (). Ma possiamo sovrascrivere questo metodo per restituire il formato che vogliamo.+"
58,Qual è la differenza tra StringBuffer e StringBuilder?,"StringBuilder è la classe più efficiente, ma non è thread-safe. StringBuffer è tread-safe. "
59,Quali sono le differenze tra le eccezioni Checked  e Unchecked?,"Un programma può andare in errore per molti motivi:     • Errori di programmazione (divisione per zero, cast non permesso, etc)     • Errori di sistema (connessione remota chiusa, memoria non disponibile, etc)     • Errori di utilizzo (input non corretti, file inesistente, etc)  Java ha una gerarchia di classi per rappresentare le varie tipologie di errore, dislocate in package diversi, a seconda del tipo di errore. La superclasse di tutti gli errori è la classe Throwable, nel package java.lang. "
60,Cos'è un blocco finally?,"Se abbiamo necessità, all’interno di un blocco try/catch, di eseguire sempre alcune istruzioni, sia che venga sollevata una eccezione o meno,  possiamo usare la clausola finally."
61,Possiamo creare un blocco finally senza avere un blocco catch?,"Sì. Un blocco finally può trovarsi subito dopo un blocco try, senza per forza inserire un catch."
62,Qual è la differenza tra throw e throws?,"Throw per genera esplicitamente un'eccezione.  Throws, inserita nella dichiarazione del metodo, propaga l’eccezione al metodo chiamante. "
63,Come funziona la Propagazione delle eccezioni?,"Se gestiamo l’eccezione con il try/catch, l’insorgere di qualche problematica rimarrà confinata all’interno del metodo stesso.  Ci potrebbero essere dei casi in cui si vuole informare chi ha chiamato il metodo, il chiamante, dell’esistenza di questi errori. Allora, è sufficiente aggiungere alla firma del metodo la parola chiave throws (lancia) seguita dal tipo di eccezione che viene “rilanciata”: il metodo termina immediatamente e le istruzioni successive non vengono eseguite:"
64,Quali sono le principali differenze tra un vettore e un ArrayList?,"Le differenze sono: 1. Sincronizzazione: Vector è sincronizzato, ArrayList no. Quindi un ArrayList ha operazioni più veloci di un vettore. 2. Crescita dei dati: internamente viene utilizzato,  sia per ArrayList che Vector, un array per memorizzare i dati. Quando un ArrayList è quasi pieno, esso aumenta la sua dimensione del 50% della dimensione dell'array. Mentre a Vector lo aumenta raddoppiando la dimensione dell'array sottostante."
65,"In quale scenario, LinkedList ha prestazione migliori dell’ArrayList?",LinkedList  è usata quando si hanno molti inserimenti o eliminazioni di elementi. L’arrayList è consigliabile nel caso di numerosi accessi casuali.
66,Quali sono le differenze tra List e Set?,"Le principali differenze tra una lista e un set sono: 1. Ordine: la List è una sequenza ordinata, ordine di inserimento, di elementi. Un Set è solo una raccolta distinta di elementi non ordinati. 2. Accesso posizionale: quando usiamo una List, possiamo specificare dove esattamente vogliamo inserire un elemento. In un Set non è possibile. 3. Duplicati: in una lista possiamo memorizzare elementi duplicati. Un set può contenere solo elementi unici."
67,Quali sono le differenze principali tra HashSet e TreeSet?,"Le principali differenze tra un HashSet e un TreeSet sono:     • Ordinamento: in un HashSet gli elementi vengono memorizzati in modo casuale. In un TreeSet, gli elementi vengono archiviati in base al loro ordinamento naturale.     • Velocità: un HashSet è migliore di un TreeSet in termini di prestazioni per la maggior parte delle operazioni come add (), remove (), contains (), size () ecc"
68,"Quali sono le principali differenze tra List, un Set o una Map?","Le differenze principali sono:     • Le List servono nel caso in cui i dati possano essere duplicati. Contengono dati ordinati in base all’inserimento.     • I Set si utilizzano nel caso in cui i dati non devono avere valori replicati.     • Map, i dati contenuti sono indicizzati tramite chiave e valore. Non contiene chiavi duplicate, ogni chiave ha al massimo un valore."
69,Quali sono le differenze tra HashMap e Hashtable?,"Le principali differenze tra una HashMap e una Hashtable sono: 1. Sincronizzazione: HashMap non è sincronizzato, HashTable si. 2. Valori nulli: una HashMap consente solo una chiave nulla e qualsiasi numero di valori nulli. Hashtable non consente chiavi o valori nulli."
70,Qual è la differenza principali tra  HashMap e TreeMap?,TreeMap è una mappa ordinata. HashMap no.
71,Come possiamo vietare l'eredità di una classe?,"Se la classe viene resa final, non può essere estesa. Questo proibirà l'eredità."
72,"Il seguente codice cosa stampa?
 Public static int prova(int a) {
		return ++a;
	}
	public static void main(String[] args) {

		int a = 10;
		 a = prova(a);
		 System.out.println(a);
		 
		
	}
","Il codice stampa 11, perché, nonostante che il passaggio dei parametri di un tipo primitivo sia per valore, l’istruzione ++a prima incrementa a e poi la ritorna."
73,Qual è la differenza principale tra Comparable e Comparator?,"Per poter ordinare un insieme di oggetti, java ci mette  a disposizione due semplici metodi della classe Collections:      • static void sort(List list)     • static void sort(List list, Comparator c)  Il primo metodo ordina l'insieme secondo l'ordine implicito degli oggetti (quindi controllerà se la classe implementa Comparable e chiamerà il metodo compareTo), mentre il secondo  metodo si avvale del Comparator passato come secondo parametro (quindi la lista verrà ordinata in base al comparator passato in input). L'interfaccia Comparable permette di implementare l'ordinamento implicito di un oggetto. L'interfaccia fornisce un solo metodo: public int compareTo(Object obj); La specifica prevede che il metodo deve ritornare 1 nel caso in cui l'oggetto this (la classe che implementa l'interfaccia) è maggiore dell'oggetto obj, ritorna 0 se sono uguali, -1 altrimenti.   Comparator interfaccia fornisce un unico metodo molto simile al compareTo() dell'interfaccia Comparable: public int compare(Object a, Object b);  Differenze  Comparable e Comparator      • con Comparable, si deve modificare la classe di oggetti che si vuole ordinare in modo che implementi Comparable, fornendo così un ordinamento esplicito per quella classe     • con Comparator, si deve creare una nuova classe che implementi Comparator, poi se si vuole ordinare una lista di oggetti in base a quel comparator si richiama la funziona Collections.sort(lista, comparatore);     • Con Comparable definisco un ordinamento di default della classe. Con comparator definisco i vari tipi di ordinamento che posso avere."
74,Qual è il motivo per l'override del metodo equals ()?,"Il metodo equals () nella classe Object viene utilizzato per verificare se due gli oggetti sono uguali o no.  Se vogliamo un'implementazione personalizzata, possiamo sovrascrivere questo metodo. Ad esempio, ipotizzando di avere una classe Persona, con nome, cognome ed età, e consideriamo due oggetti Persona uguali se hanno stesso nome e cognome, allora possiamo sovrascrivere il metodo equals () per confrontare il nome e il cognome degli oggetti Persona. Inoltre, se usiamo qualche implementazione di HashMap, e vogliamo usare un oggetto come chiave, allora dobbiamo sovrascrivere il metodo equals ()."
75,Come funziona il metodo hashCode ()?,"La classe Object ha il metodo hashCode (). Questo metodo restituisce un numero intero, detto codice hash. E’ usato in tanti ambiti, per esempio nelle hashmap. In particolare, per il corretto uso delle HashMap è necessario fare l’override del metodo hashcode e di equals, tenendo conto che:     • due oggetti uguali, quindi con equals che ritorna true, devono avere lo stesso codice hashcode.     • Se due oggetti non sono uguali, non per forza devono ritornare differenti hash "
76,Qual è la differenza tra ArrayList e LinkedList?,"Principali differenze tra le strutture dati ArrayList e LinkedList siamo:     • Inserimento: è più veloce inserire nuovi elementi in una LinkedList.     • Rimozione: LinkedList ha prestazioni migliori in rimozione di elementi rispetto a ArrayList.     • Utilizzo della memoria: LinkedList utilizza più memoria di ArrayList, perché internamente ogni nodo deve puntare il nodo precedente e successivo.     • Accesso: LinkedList è più lento nell'accesso a un elemento."
77,Qual è la differenza tra Set e Map?,"Le principali differenze tra un set e una mappa sono: - Elementi duplicati: un set non consente l'inserimento elementi duplicati. Una mappa non consente l'utilizzo di chiavi duplicati, ma consente di inserire valori duplicati per chiavi univoche. - Valori nulli: un Set consente di inserire al massimo elemento nullo. In una mappa possiamo avere al massimo una singola chiave nulla e qualsiasi numero di valori nulli."
78,"Cos'è il problema delle collisioni, e come viene gestito, nelle HashMap?","Per poter usare correttamente l’HashMap bisogna implementare correttamente l’override delle funzioni hashcode() e equals() altrimenti si incorre nel problema delle collisioni, ossia per due chiavi diverse che hanno lo stesso hashcode,e quindi andranno nella stessa locazione,  non ci sarà modo di capire se si devono essere sovrascritti o aggiunti in quella locazione. Per risolvere questo problema si deve fare l’override di haschcode (in modo da ridurre al minimo la possibilità che due chiavi diverse abbiano lo stesso hash) e anche di equals.In questo modo quando due chiavi diverse (due chiavi associati a due valori diversi) hanno lo stesso hashcode  viene utilizzata la  funzione equals per capire se è la stessa chiave o no. Se è la stessa chiave, viene aggiornata la coppia chiave-valore (ricordiamoci che nella locazione vengono inserite le coppie chiavi-valori), altrimenti viene aggiunta"
79,Cos'è un iteratore?,Iterator è un'interfaccia Java per accedere agli elementi di una Collection.
80,Qual è la differenza principale tra Array e ArrayList?,"La dimensione degli array in Java è fissa. Negli ArrayList invece è dinamica, la sua capacità aumenta automaticamente. "
81,"Perché si dice che con  Java  ""scrivi una volta, esegui ovunque”?","Con Java, il codice compilato che viene eseguito su una piattaforma non deve essere ricompilato per essere eseguito su una piattaforma diversa; infatti il prodotto della compilazione è in un formato chiamato bytecode che può essere eseguito da una qualunque implementazione di un processore virtuale detto Java Virtual Machine;"
82,Cos'è un thread?,"Un thread è un insieme di istruzioni eseguite in sequenza, una dopo l’altra. Tipicamente, un processo può essere suddiviso in sotto-processi, in modo da poter delegare a ognuno un certo compito. Questi processi figli vengono detti thread, o anche processi light"
83,È possibile chiamare il metodo run () invece di start () su un thread?,"Sì. Possiamo chiamare il metodo run () di un thread. Ma non avvia un thread separato. E’ come chiamare un normale run, non viene startato nessun altro thread. "
84,Possiamo startare due volte lo stesso thread?,"No. Possiamo chiamare il metodo start () solo una volta su un thread. Se lo chiamiamo due volte, ci darà un'eccezione."
85,In cosa consiste la sincronizzazione?,Il concetto di sincronizzazione viene utilizzato nella programmazione multi-threading per controllare l'accesso di più thread a una risorsa condivisa. Viene utilizzato per evitare deadlock tra più thread.
86,Qual è lo scopo di un blocco sincronizzato?,Il blocco sincronizzato ha molti usi nel multi-threading. Alcuni degli usi sono:     • Prevenire interferenza tra thread     • Evita problemi di incoerenza sulla memoria condivisa tra thread. 
87,Quali sono i vantaggi e svantaggi nell’usare java?," vantaggi più importanti sono la portabilità del codice, ossia il codice java è eseguibile su qualsiasi macchina, e la facilità di uso. Svantaggi non si ha un controllo assoluto della macchina come si può avere con il linguaggio C, ma questo significa anche meno possibilità di fare grossi danni."
88,Cos'è una situazione di deadlock?,"Ipotizziamo di avere due  thread , chiamiamoli T1 e T2. T1 ha bloccato una certa risorsa R1 e per terminare la sua esecuzione ha bisogno della risorsa R2. T2 ha  bloccato la risorsa R2 e per terminare la sua esecuzione ha bisogno della risorsa R1. Quindi T1 è in attesa che T2 rilasci la risorsa R2, ma T2 è a sua volta in attesa che venga rilasciata la risorsa R1, bloccata da T1. Si ha cosi una specie di stallo infinito chiamato deadlock."
89,"Scrivere un metodo che, data una matrice di interi, popola la diagonale principale con dei 2?","public static void visualizzaArray(int[][] Q) {
		for (int i = 0; i < Q .length; i++) 
			Q [i][i]=2;
		}"
90,Quali sono le differenze principali tra processo e thread?,"Una differenza sostanziale fra thread e processi consiste nel modo con cui essi condividono le risorse: mentre i processi sono di solito fra loro indipendenti, i thread di un processo tipicamente condividono le medesime informazioni di stato, la memoria ed altre risorse di sistema. Un'altra differenza è nel meccanismo di attivazione: la creazione di un nuovo processo è sempre onerosa per il sistema, in quanto devono essere allocate ovvero assegnate risorse necessarie alla sua esecuzione (allocazione di memoria, riferimenti alle periferiche, e così via, operazioni tipicamente onerose); il thread invece è parte di un processo e quindi una sua nuova attivazione viene effettuata in tempi ridottissimi a costi minimi."
91,Quali sono gli stati di un thread?,"Un thread può trovarsi nei seguenti stati (ad alto livello):     • Start: il thread è stato creato con un’operazione di new() ma non è ancora stato mandato in esecuzione.     • Runnable: è stato chiamato il metodo start(), il thread è pronto ad essere eseguito, appena gli viene assegnata la CPU.     • Stop: il thread ha terminato la sua esecuzione, ossia il metodo run è stato completamente eseguito.     • Blocked: il thread è bloccato, non può essere eseguito, per esempio potrebbe essere in attesa di avere a disposizione una risorsa.     • Running: il thread è in esecuzione sulla cpu."
92,Come si può creare un thread in Java?,"Java offre due possibilità per creare un thread: estendere una classe o implementare una interfaccia. Concretamente non cambia niente, tranne il fatto che se estendiamo una classe con thread poi non ne potremo estendere altre (ricordiamoci che solo una classe alla volta può essere estesa); invece con una interfaccia, essendo possibile implementarne molte, non abbiamo di questi vincoli. Estendere la classe Thread Estendendo la classe Thread dobbiamo fare l’override del metodo run(), e dentro inserire tutte le operazioni che vogliamo far eseguire al nostro thread. Per poter lanciare il nostro thread è sufficiente creare un oggetto di tale classe ed invocare il metodo start(). La JVM creerà il nuovo thread e invocherà il metodo run().
Implementare l’interfaccia Runnable In questo caso dovremo implementare l’interfaccia Runnable, creare una istanza di Thread e dare in input un oggetto di tipo runnable.
Fondamentalmente la differenza è che runnable si implementano  invece Thread viene estesa.  Notare che, implementando l’interfaccia Runnable e il metodo run() per farla funzionare come un Thread deve essere “agganciata” a un oggetto Thread (un’istanza della classe Thread o di una sua sottoclasse) passando un reference dell’oggetto Runnable al costruttore del Thread. In entrambi i casi, sia con l’estensione che con l’implementazione, si deve evitare di chiamare direttamente il metodo run: il thread non viene lanciato ma è come se chiamassimo un normale metodo di una classe."
93,Come funziona un metodo syncronized?,"Possiamo pensare a syncronized come ad un lucchetto relativo a un pezzo di codice: chiunque voglia eseguire quel pezzo di codice deve avere il lucchetto. Quando un thread acquisice il lucchetto, esso lo terrà fino a quando terminerà tutto il codice protetto da quel lucchetto. Se nel frattempo un altro thread vuole accedervi, dovrà aspettare che il lucchetto ritorni libero. Ricapitolando: syncronized ci garantisce che quel pezzo di codice non può essere eseguito contemporaneamente da due thread."
94,"Il seguente codice è thread-safe?
public class SingletonDoubleCheck {
	private SingletonDoubleCheck instance = null;

	public SingletonDoubleCheck getInstance() {
		if (instance == null) {
			synchronized (SingletonDoubleCheck.class) {
							instance = new SingletonDoubleCheck();
	
			}
		}
		return instance;
	}
}","Il codice sopra menzionato serve per creare una classe Singleton, ma non è thread-safe. Questo perchè il metodo getInstance () potrebbe restituire un oggetto che non è stato inizializzato correttamente."
95,Cos'è la scalabilità di un programma?,"La scalabilità è la capacità di un programma di gestire quantità crescente di utenti (di lavoro) o il suo potenziale di poter essere ampliato per affrontare le richieste crescenti. Quando diciamo che un programma non è scalabile, significa che il programma fallisce all’aumentare della sua utenza."
96,Cos'è un'espressione Lambda?,Le espressioni Lambda costituiscono la principale novità per il linguaggio di programmazione Java 8.  E’ una funzione che ha un corpo ma non un nome ed è definita nel punto in cui viene utilizzata. 
97,Quali sono le tre parti principali di un'espressione Lambda?,"Tre parti principali di un'espressione Lambda sono:     • Elenco dei parametri: un'espressione Lambda può avere zero opiù parametri. L'elenco dei parametri è facoltativo.     • Operatore freccia Lambda: ""->"" è noto come freccia Lambda. Separa l'elenco dei parametri e il corpo della funzione Lambda.     • Corpo dell'espressione lambda: il pezzo di codice che vogliamo da eseguire. Nel seguente esempio: Arrays.asList( ""a"", ""b"", ""d"" ).forEach( e -> System.out.println( e ) );  Lista parametri = e Arrow = -> Corpo = System.out.println( e )"
98,Cos'è un'interfaccia funzionale?,Un'interfaccia funzionale in Java è un'interfaccia che ha esattamente una metodo astratto. java.lang.Runnable e java.util.concurrent.Callable sono  due esempi di interfacce funzionali molto popolari.
99,Che cos'è un metodo di default in un'interfaccia?,"E’ un normale metodo con corpo, ma nella sua dichiarazione è preceduto dalla parola chiave default.
In una interfaccia ci possono essere molti metodi di default.  Le classi che implementano l’interfaccia possono scegliere  se definire una propria implementazione del metodo o usare quella fornita dall’interfaccia."
